Postleitzahl,year,bundesland,group,treated,operator_type,anzahl_anlagen,netto_kw,brutto_kw,flaeche_km2,post2023,post2024,post_t1,post_t2,treat_x_t1,treat_x_t2,outcome,treat_x_2015,treat_x_2016,treat_x_2017,treat_x_2018,treat_x_2019,treat_x_2021,treat_x_2022
21109,2015,Hamburg,HH_grenze,1,privat,0.0,0.0,0.0,19.357166,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0
21109,2016,Hamburg,HH_grenze,1,privat,2.0,6.21,8.129999999999999,19.357166,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0
21109,2017,Hamburg,HH_grenze,1,privat,4.0,23.0,24.2,19.357166,0,0,0,0,0,0,4.0,0,0,1,0,0,0,0
21109,2018,Hamburg,HH_grenze,1,privat,2.0,9.01,9.3,19.357166,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0
21109,2019,Hamburg,HH_grenze,1,privat,4.0,16.560000000000002,18.17,19.357166,0,0,0,0,0,0,4.0,0,0,0,0,1,0,0
21109,2020,Hamburg,HH_grenze,1,privat,2.0,14.1,14.84,19.357166,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
21109,2021,Hamburg,HH_grenze,1,privat,14.0,101.57,115.36,19.357166,0,0,1,0,1,0,14.0,0,0,0,0,0,1,0
21109,2022,Hamburg,HH_grenze,1,privat,23.0,175.935,191.89,19.357166,0,0,1,1,1,1,23.0,0,0,0,0,0,0,1
21129,2015,Hamburg,HH_grenze,1,privat,7.0,35.38,38.195,61.915526,0,0,0,0,0,0,7.0,1,0,0,0,0,0,0
21129,2016,Hamburg,HH_grenze,1,privat,0.0,0.0,0.0,61.915526,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0
21129,2017,Hamburg,HH_grenze,1,privat,0.0,0.0,0.0,61.915526,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0
21129,2018,Hamburg,HH_grenze,1,privat,3.0,51.0,55.900000000000006,61.915526,0,0,0,0,0,0,3.0,0,0,0,1,0,0,0
21129,2019,Hamburg,HH_grenze,1,privat,4.0,19.24,22.03,61.915526,0,0,0,0,0,0,4.0,0,0,0,0,1,0,0
21129,2020,Hamburg,HH_grenze,1,privat,9.0,105.63,111.9,61.915526,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0
21129,2021,Hamburg,HH_grenze,1,privat,12.0,173.065,189.735,61.915526,0,0,1,0,1,0,12.0,0,0,0,0,0,1,0
21129,2022,Hamburg,HH_grenze,1,privat,22.0,786.9,857.39,61.915526,0,0,1,1,1,1,22.0,0,0,0,0,0,0,1
21147,2015,Hamburg,HH_grenze,1,privat,4.0,13.5,13.66,15.482834,0,0,0,0,0,0,4.0,1,0,0,0,0,0,0
21147,2016,Hamburg,HH_grenze,1,privat,10.0,60.585,64.73,15.482834,0,0,0,0,0,0,10.0,0,1,0,0,0,0,0
21147,2017,Hamburg,HH_grenze,1,privat,23.0,139.06,156.86,15.482834,0,0,0,0,0,0,23.0,0,0,1,0,0,0,0
21147,2018,Hamburg,HH_grenze,1,privat,12.0,74.94,93.615,15.482834,0,0,0,0,0,0,12.0,0,0,0,1,0,0,0
21147,2019,Hamburg,HH_grenze,1,privat,3.0,13.0,17.935,15.482834,0,0,0,0,0,0,3.0,0,0,0,0,1,0,0
21147,2020,Hamburg,HH_grenze,1,privat,14.0,67.91,76.985,15.482834,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0
21147,2021,Hamburg,HH_grenze,1,privat,17.0,114.11,123.045,15.482834,0,0,1,0,1,0,17.0,0,0,0,0,0,1,0
21147,2022,Hamburg,HH_grenze,1,privat,17.0,134.75,144.855,15.482834,0,0,1,1,1,1,17.0,0,0,0,0,0,0,1
21149,2015,Hamburg,HH_grenze,1,privat,2.0,10.27,11.27,18.231435,0,0,0,0,0,0,2.0,1,0,0,0,0,0,0
21149,2016,Hamburg,HH_grenze,1,privat,1.0,9.72,9.72,18.231435,0,0,0,0,0,0,1.0,0,1,0,0,0,0,0
21149,2017,Hamburg,HH_grenze,1,privat,19.0,84.77,89.21000000000001,18.231435,0,0,0,0,0,0,19.0,0,0,1,0,0,0,0
21149,2018,Hamburg,HH_grenze,1,privat,9.0,39.909000000000006,40.755,18.231435,0,0,0,0,0,0,9.0,0,0,0,1,0,0,0
21149,2019,Hamburg,HH_grenze,1,privat,12.0,62.63,67.59,18.231435,0,0,0,0,0,0,12.0,0,0,0,0,1,0,0
21149,2020,Hamburg,HH_grenze,1,privat,14.0,82.07,90.14,18.231435,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0
21149,2021,Hamburg,HH_grenze,1,privat,26.0,239.93,249.695,18.231435,0,0,1,0,1,0,26.0,0,0,0,0,0,1,0
21149,2022,Hamburg,HH_grenze,1,privat,39.0,285.63,333.025,18.231435,0,0,1,1,1,1,39.0,0,0,0,0,0,0,1
21217,2015,Niedersachsen,NI_grenze,0,privat,2.0,4.98,5.029999999999999,34.204145,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
21217,2016,Niedersachsen,NI_grenze,0,privat,4.0,21.51,21.79,34.204145,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0
21217,2017,Niedersachsen,NI_grenze,0,privat,8.0,43.61,53.33,34.204145,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0
21217,2018,Niedersachsen,NI_grenze,0,privat,1.0,9.6,9.6,34.204145,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
21217,2019,Niedersachsen,NI_grenze,0,privat,3.0,17.6,24.89,34.204145,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0
