"Statistikamt Nord; ";;;;;;;;;;;;;;;;13.03.26
"311-1; Kue.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
31121  Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;
31121SGJ55 Baufertigstellungen im Wohn- und Nichtwohnbau, Neubauten - SH (2010-2024);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Kreis;Gemeinde;Anzahl fertiggestellter Wohn- und Nichtwohngebäude im Neubau nach Jahren 2010-2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
01057 Plön;01057060 Prasdorf;2;1;2;;;;1;;;1;1;;1;;
01057 Plön;01057062 Preetz, Stadt;28;38;26;35;30;43;18;11;14;15;10;10;25;42;19
01057 Plön;01057063 Probsteierhagen;3;;3;;2;1;19;2;2;2;6;44;12;15;2
01057 Plön;01057065 Rantzau;;;3;;1;;;2;;;;1;1;2;1
01057 Plön;01057066 Rastorf;1;1;2;2;1;2;1;1;1;1;;;;3;
01057 Plön;01057067 Rathjensdorf;1;2;3;1;;2;;2;1;;1;;1;3;
01057 Plön;01057068 Rendswühren;2;;;5;;;1;2;;3;3;2;4;4;
01057 Plön;01057069 Ruhwinkel;1;2;2;3;3;1;3;1;3;3;1;4;1;2;3
01057 Plön;01057070 Schellhorn;;4;2;2;1;2;;2;3;1;3;;1;;
01057 Plön;01057071 Schillsdorf;;;1;4;1;1;1;1;8;2;2;1;1;4;7
01057 Plön;01057072 Schlesen;1;1;2;1;5;5;2;4;1;2;1;2;;1;1
01057 Plön;01057073 Schönberg (Holstein);18;15;23;15;18;;61;14;53;25;12;18;7;8;17
01057 Plön;01057074 Schönkirchen;5;19;13;19;9;48;6;6;15;17;16;2;5;2;18
01057 Plön;01057076 Schwartbuck;1;4;;1;3;;;;2;2;1;10;6;3;2
01057 Plön;01057077 Selent;2;2;1;2;;5;7;25;14;18;22;8;10;;7
01057 Plön;01057078 Stakendorf;;2;2;4;;1;;1;;1;1;1;4;3;2
01057 Plön;01057079 Stein;;;2;1;3;;2;;;3;;3;1;26;5
01057 Plön;01057080 Stolpe;1;5;4;5;4;2;2;3;1;2;;;1;8;8
01057 Plön;01057081 Stoltenberg;;;2;1;1;1;;;;;;;1;;1
01057 Plön;01057082 Tröndel;2;;1;;1;1;1;;1;1;1;3;;1;2
01057 Plön;01057083 Tasdorf;2;;;1;1;;1;1;;;1;;;;
01057 Plön;01057084 Wahlstorf;;;1;;1;3;;;1;;1;1;;;1
01057 Plön;01057085 Wankendorf;1;5;1;3;5;3;8;13;3;6;1;;4;7;2
01057 Plön;01057086 Warnau;;1;;;;;;;;3;7;9;;;
01057 Plön;01057087 Wendtorf;;;;5;1;;85;1;2;1;4;3;;6;3
01057 Plön;01057088 Wisch;1;1;4;11;3;5;4;4;3;6;5;4;9;;2
01057 Plön;01057089 Wittmoldt;2;;;1;;;;;;;1;;;;
01057 Plön;01057090 Fargau-Pratjau;;;;1;;1;;1;;2;1;;1;1;
01057 Plön;01057091 Schwentinental,Stadt;12;7;12;18;18;12;17;37;11;8;23;14;7;14;5
01057 Plön;Gesamtsumme;167;201;223;284;259;322;346;267;229;208;304;324;259;308;207
01058 Rendsburg-Eckernf.;01058001 Achterwehr;2;2;1;;7;4;11;15;2;1;;2;2;;
01058 Rendsburg-Eckernf.;01058003 Alt Duvenstedt;1;3;6;8;4;4;10;10;4;3;11;11;10;2;
01058 Rendsburg-Eckernf.;01058004 Altenhof;;;;;;;;1;1;;;1;2;1;1
01058 Rendsburg-Eckernf.;01058005 Altenholz;7;11;18;6;7;6;6;18;45;9;4;11;1;;3
01058 Rendsburg-Eckernf.;01058007 Arpsdorf;;1;;2;2;2;2;1;;1;;11;5;4;2
01058 Rendsburg-Eckernf.;01058008 Ascheffel;;1;2;;6;5;5;2;3;11;3;1;1;2;
01058 Rendsburg-Eckernf.;01058009 Aukrug;5;11;10;;18;11;8;4;;22;;20;11;20;7
01058 Rendsburg-Eckernf.;01058010 Bargstall;;;;;6;;1;;;1;2;1;;1;1
01058 Rendsburg-Eckernf.;01058011 Bargstedt;4;2;1;;5;1;2;1;;2;2;2;4;1;2
01058 Rendsburg-Eckernf.;01058012 Barkelsby;;3;12;;11;4;4;2;2;7;8;1;1;;1
01058 Rendsburg-Eckernf.;01058013 Beldorf;2;1;1;;2;;1;;;;;3;;2;4
01058 Rendsburg-Eckernf.;01058014 Bendorf;1;;1;1;2;;2;;;1;;2;3;2;4
01058 Rendsburg-Eckernf.;01058015 Beringstedt;7;2;3;;;3;1;3;;4;;6;2;2;
01058 Rendsburg-Eckernf.;01058016 Bissee;;;1;;;;;;1;1;;;;;1
01058 Rendsburg-Eckernf.;01058018 Blumenthal;;1;1;1;;;;2;;;1;;;2;
01058 Rendsburg-Eckernf.;01058019 Böhnhusen;;;3;;2;1;2;3;;;;1;;;
01058 Rendsburg-Eckernf.;01058021 Bokel;1;2;;;1;;1;;;2;;2;1;;
01058 Rendsburg-Eckernf.;01058022 Bordesholm;15;2;4;;26;9;8;20;18;20;25;15;27;7;9
01058 Rendsburg-Eckernf.;01058023 Borgdorf-Seedorf;1;;1;;1;;;;;;1;;;1;
01058 Rendsburg-Eckernf.;01058024 Borgstedt;3;12;6;;25;10;10;3;11;16;9;12;12;1;
01058 Rendsburg-Eckernf.;01058025 Bornholt;;;1;;;;2;;;;;;;1;4
01058 Rendsburg-Eckernf.;01058026 Bovenau;;1;;5;2;3;;9;1;6;;;3;8;1
01058 Rendsburg-Eckernf.;01058027 Brammer;1;3;1;;;1;;;;;;2;;1;1
01058 Rendsburg-Eckernf.;01058028 Bredenbek;14;1;14;;19;11;7;2;1;3;4;1;2;3;2
01058 Rendsburg-Eckernf.;01058029 Breiholz;3;4;2;4;5;3;5;7;4;4;5;2;3;4;1
01058 Rendsburg-Eckernf.;01058030 Brekendorf;1;1;1;;7;;2;;1;3;3;3;7;4;1
01058 Rendsburg-Eckernf.;01058031 Brinjahe;;;1;;;;;;2;;;1;;;
01058 Rendsburg-Eckernf.;01058032 Brodersby;;2;2;;3;2;2;3;2;2;1;2;;8;1
01058 Rendsburg-Eckernf.;01058033 Brügge;1;1;1;;8;3;;;12;3;9;3;2;2;4
01058 Rendsburg-Eckernf.;01058034 Büdelsdorf, Stadt;18;11;20;29;26;14;16;30;20;15;13;22;8;13;7
01058 Rendsburg-Eckernf.;01058035 Bünsdorf;;1;2;;1;5;3;1;1;;2;;;;
01058 Rendsburg-Eckernf.;01058036 Christiansholm;;;2;;1;;2;;;1;1;2;;;1
01058 Rendsburg-Eckernf.;01058037 Dänischenhagen;9;11;5;11;;10;9;6;6;6;4;15;6;7;
01058 Rendsburg-Eckernf.;01058038 Dätgen;1;2;;;6;4;1;4;4;2;1;2;2;1;2
01058 Rendsburg-Eckernf.;01058039 Damendorf;;2;;;;;;2;1;;2;7;6;3;
01058 Rendsburg-Eckernf.;01058040 Damp;1;4;1;;212;8;1;1;3;8;7;28;38;7;2
01058 Rendsburg-Eckernf.;01058042 Dörphof;1;3;;;5;4;2;3;5;6;;1;2;1;2
01058 Rendsburg-Eckernf.;01058043 Eckernförde, Stadt;11;14;44;50;50;51;33;40;37;25;15;20;23;52;50
01058 Rendsburg-Eckernf.;01058044 Ehndorf;2;1;;;2;2;;1;;2;;2;;1;
01058 Rendsburg-Eckernf.;01058045 Eisendorf;1;;;;;;;1;1;2;2;1;1;;
01058 Rendsburg-Eckernf.;01058046 Ellerdorf;;3;3;;2;1;1;1;;2;;;;3;4
01058 Rendsburg-Eckernf.;01058047 Elsdorf-Westermühlen;4;6;2;2;;4;4;3;3;4;4;9;9;6;
01058 Rendsburg-Eckernf.;01058048 Embühren;1;1;4;;;;1;;;;;;;;
01058 Rendsburg-Eckernf.;01058049 Emkendorf;4;1;1;;2;1;;5;1;2;5;3;;5;
01058 Rendsburg-Eckernf.;01058050 Felde;4;;22;;19;4;12;6;3;2;7;4;3;7;3
01058 Rendsburg-Eckernf.;01058051 Felm;2;;4;20;8;4;6;7;2;;3;1;1;5;1
01058 Rendsburg-Eckernf.;01058052 Fleckeby;3;10;6;;24;12;17;5;2;1;3;5;1;;3
01058 Rendsburg-Eckernf.;01058053 Flintbek;6;27;8;;11;5;8;7;2;5;5;48;23;7;3
01058 Rendsburg-Eckernf.;01058054 Fockbek;4;5;16;5;11;16;17;25;24;48;34;34;39;19;9
01058 Rendsburg-Eckernf.;01058056 Friedrichsholm;;1;2;1;;1;;2;1;2;1;;;;
01058 Rendsburg-Eckernf.;01058057 Gammelby;;1;1;;;;;;1;;;;1;1;
01058 Rendsburg-Eckernf.;01058058 Gettorf;11;16;12;69;27;24;26;22;36;9;19;7;7;9;3
01058 Rendsburg-Eckernf.;01058059 Gnutz;2;5;4;;8;1;6;1;1;4;6;6;2;9;3
01058 Rendsburg-Eckernf.;01058061 Gokels;;;;1;;;;;;1;;1;1;;
01058 Rendsburg-Eckernf.;01058062 Grauel;2;1;1;1;;1;1;1;;1;;3;1;1;
01058 Rendsburg-Eckernf.;01058063 Grevenkrug;;;;;1;1;;;;;;;;;
01058 Rendsburg-Eckernf.;01058064 Groß Buchwald;1;1;1;;2;;2;1;;1;2;7;;1;1
01058 Rendsburg-Eckernf.;01058065 Groß Vollstedt;1;2;3;;10;5;3;3;3;1;4;3;;1;1
01058 Rendsburg-Eckernf.;01058066 Groß Wittensee;3;2;3;;7;5;9;12;2;26;5;11;11;6;4
01058 Rendsburg-Eckernf.;01058067 Güby;;2;;;5;1;1;2;3;2;9;1;4;;3
01058 Rendsburg-Eckernf.;01058068 Haale;2;2;1;;4;1;1;;2;2;;5;1;1;2
01058 Rendsburg-Eckernf.;01058069 Haby;;1;;;8;6;4;1;1;3;1;;8;;
01058 Rendsburg-Eckernf.;01058070 Hamdorf;2;;1;5;2;7;3;4;5;5;17;21;19;15;5
01058 Rendsburg-Eckernf.;01058071 Hamweddel;;;2;;1;;3;1;1;;1;1;1;;1
01058 Rendsburg-Eckernf.;01058072 Hanerau-Hademarschen;4;2;;2;2;6;1;3;;10;2;17;18;11;14
01058 Rendsburg-Eckernf.;01058073 Haßmoor;1;;2;2;1;1;;;;1;1;;;1;
01058 Rendsburg-Eckernf.;01058074 Heinkenborstel;;;;;;;;;;1;;1;;;2
01058 Rendsburg-Eckernf.;01058075 Hörsten;2;;;;;;;1;;;1;;1;;1
01058 Rendsburg-Eckernf.;01058076 Hoffeld;;;;;4;;;;;;2;3;;;
01058 Rendsburg-Eckernf.;01058077 Hohenwestedt;8;8;5;20;9;19;12;6;;59;1;45;11;21;6
01058 Rendsburg-Eckernf.;01058078 Hohn;4;5;7;8;7;;8;19;9;5;5;18;35;13;10
01058 Rendsburg-Eckernf.;01058080 Holtsee;;4;3;;16;5;9;12;11;3;2;;6;;3
01058 Rendsburg-Eckernf.;01058081 Holzbunge;1;1;;;2;1;2;6;1;1;;;1;1;1
01058 Rendsburg-Eckernf.;01058082 Holzdorf;;;1;;5;1;1;1;3;;;;2;2;2
01058 Rendsburg-Eckernf.;01058083 Hütten;;;1;;1;2;1;;;1;2;;;;
01058 Rendsburg-Eckernf.;01058084 Hummelfeld;1;1;2;;;4;3;;2;;;2;2;1;1
01058 Rendsburg-Eckernf.;01058085 Jahrsdorf;2;;1;;1;1;;;;1;;1;1;;2
01058 Rendsburg-Eckernf.;01058086 Jevenstedt;12;11;7;;15;13;17;26;10;8;14;20;11;9;9
01058 Rendsburg-Eckernf.;01058087 Karby;;;;;;1;;4;2;1;3;1;1;;1
01058 Rendsburg-Eckernf.;01058088 Klein Wittensee;4;2;3;;6;;;4;8;14;7;;1;;3
01058 Rendsburg-Eckernf.;01058089 Königshügel;1;;1;1;;;;;;1;;;1;;
01058 Rendsburg-Eckernf.;01058090 Kosel;;24;4;;13;2;10;3;2;11;5;4;6;2;3
01058 Rendsburg-Eckernf.;01058091 Krogaspe;1;;1;;3;1;2;1;;1;1;4;1;4;4
01058 Rendsburg-Eckernf.;01058092 Kronshagen;8;17;12;13;6;9;6;5;11;17;6;9;3;6;6
01058 Rendsburg-Eckernf.;01058093 Krummwisch;1;2;3;;6;;6;2;;2;2;1;2;;
01058 Rendsburg-Eckernf.;01058094 Langwedel;3;1;;;10;7;4;1;6;3;3;3;1;4;1
01058 Rendsburg-Eckernf.;01058096 Lindau;1;2;4;5;4;12;8;8;7;4;3;1;7;6;4
01058 Rendsburg-Eckernf.;01058097 Lohe-Föhrden;1;;2;1;;;;1;;1;1;3;3;3;1
01058 Rendsburg-Eckernf.;01058098 Loop;1;1;;;3;1;3;1;4;;1;;1;1;
01058 Rendsburg-Eckernf.;01058099 Loose;;1;;;5;2;7;;2;2;;;2;2;3
01058 Rendsburg-Eckernf.;01058100 Lütjenwestedt;1;3;2;1;1;1;;2;;;;1;3;1;1
01058 Rendsburg-Eckernf.;01058101 Luhnstedt;1;;2;;1;;1;;1;1;2;1;1;4;
01058 Rendsburg-Eckernf.;01058102 Goosefeld;;1;4;;5;;1;1;;;5;5;1;1;2
01058 Rendsburg-Eckernf.;01058103 Meezen;;;;3;;;1;2;;2;;2;;1;1
01058 Rendsburg-Eckernf.;01058104 Melsdorf;1;2;4;;23;3;22;7;5;5;11;5;2;2;1
01058 Rendsburg-Eckernf.;01058105 Mielkendorf;1;1;;5;;4;5;1;5;1;1;;1;2;1
01058 Rendsburg-Eckernf.;01058106 Mörel;;1;;;2;;1;1;;1;;1;;;
01058 Rendsburg-Eckernf.;01058107 Molfsee;4;8;9;10;6;19;3;7;4;13;2;2;5;3;3
01058 Rendsburg-Eckernf.;01058108 Mühbrook;2;3;2;;5;4;3;;2;1;1;2;2;1;5
01058 Rendsburg-Eckernf.;01058109 Negenharrie;1;;;;;;2;3;1;;4;2;1;1;
01058 Rendsburg-Eckernf.;01058110 Neudorf-Bornstein;9;3;2;1;2;1;;;;5;7;4;2;2;
01058 Rendsburg-Eckernf.;01058111 Neu Duvenstedt;2;;1;;2;;;1;;;;;;;2
01058 Rendsburg-Eckernf.;01058112 Neuwittenbek;1;1;1;;1;;;;2;;;1;;3;1
01058 Rendsburg-Eckernf.;01058113 Nienborstel;;5;;;1;2;;1;;3;1;5;;4;4
01058 Rendsburg-Eckernf.;01058115 Nindorf;;;1;1;4;1;2;1;;5;;9;3;;2
01058 Rendsburg-Eckernf.;01058116 Noer;7;2;;1;;3;1;4;6;2;6;2;;;
01058 Rendsburg-Eckernf.;01058117 Nortorf, Stadt;9;22;10;;35;8;5;13;33;12;14;6;6;25;12
01058 Rendsburg-Eckernf.;01058118 Nübbel;1;2;4;1;2;3;6;5;12;11;1;10;4;4;4
01058 Rendsburg-Eckernf.;01058119 Oldenbüttel;2;;;;2;1;;;;1;;1;1;2;3
01058 Rendsburg-Eckernf.;01058120 Oldenhütten;;;;;2;;1;1;;;1;;;1;
01058 Rendsburg-Eckernf.;01058121 Osdorf;5;4;9;7;5;1;6;1;59;10;7;8;3;1;
01058 Rendsburg-Eckernf.;01058122 Ostenfeld (Rendsburg;1;3;2;3;5;1;;2;1;3;4;4;3;;
01058 Rendsburg-Eckernf.;01058123 Osterby;3;1;1;;6;2;;1;;;23;3;4;1;
01058 Rendsburg-Eckernf.;01058124 Osterrönfeld;3;8;9;11;15;11;;35;12;7;15;5;10;17;2
01058 Rendsburg-Eckernf.;01058125 Osterstedt;;;4;3;3;4;2;;;5;;2;3;1;4
01058 Rendsburg-Eckernf.;01058126 Ottendorf;15;9;1;;;;;12;9;9;2;;1;2;
01058 Rendsburg-Eckernf.;01058127 Owschlag;13;9;10;;20;13;16;9;12;11;18;17;15;22;15
01058 Rendsburg-Eckernf.;01058128 Padenstedt;1;3;2;25;13;3;5;2;;3;;27;6;2;5
01058 Rendsburg-Eckernf.;01058129 Prinzenmoor;1;3;;;;;;2;;;;;;1;
01058 Rendsburg-Eckernf.;01058130 Quarnbek;3;;5;;4;1;3;3;;3;4;2;3;6;
01058 Rendsburg-Eckernf.;01058131 Rade b. Hohenwestedt;;;;1;;1;;2;;1;1;2;;2;
01058 Rendsburg-Eckernf.;01058132 Rade b. Rendsburg;;2;;;;1;;;;3;3;;1;1;
01058 Rendsburg-Eckernf.;01058133 Reesdorf;1;4;;;;1;4;;;;;1;;;1
01058 Rendsburg-Eckernf.;01058134 Remmels;1;1;;;;3;;1;;6;;2;5;4;2
01058 Rendsburg-Eckernf.;01058135 Rendsburg, Stadt;18;21;21;25;37;20;20;17;13;19;12;34;26;19;18
01058 Rendsburg-Eckernf.;01058136 Rickert;;3;1;1;;2;;6;2;1;4;2;3;2;1
01058 Rendsburg-Eckernf.;01058137 Rieseby;1;7;9;;21;13;10;7;4;9;16;7;7;7;1
01058 Rendsburg-Eckernf.;01058138 Rodenbek;4;1;1;;;;2;;;;3;;2;;
01058 Rendsburg-Eckernf.;01058139 Rumohr;2;2;2;5;3;1;1;6;3;1;2;;;;2
01058 Rendsburg-Eckernf.;01058140 Schacht-Audorf;16;10;16;14;34;19;;11;7;30;18;4;8;7;1
01058 Rendsburg-Eckernf.;01058141 Schierensee;;2;;;;1;1;;;1;;1;;2;
01058 Rendsburg-Eckernf.;01058142 Schinkel;3;3;;;5;9;3;1;2;2;1;;5;6;12
01058 Rendsburg-Eckernf.;01058143 Schmalstede;2;;3;;2;;;;;7;;;;;1
01058 Rendsburg-Eckernf.;01058144 Schönbek;1;1;2;;5;1;2;;3;1;1;;1;;
01058 Rendsburg-Eckernf.;01058145 Schönhorst;;;;;;3;;;;;2;;;3;
01058 Rendsburg-Eckernf.;01058146 Schülldorf;11;11;6;9;5;6;2;;;1;;;1;1;3
01058 Rendsburg-Eckernf.;01058147 Schülp b. Nortorf;6;5;3;;4;1;;1;;4;1;;;1;
01058 Rendsburg-Eckernf.;01058148 Schülp b. Rendsburg;4;3;4;;11;5;;;2;3;3;2;5;8;9
01058 Rendsburg-Eckernf.;01058150 Schwedeneck;6;10;1;1;1;1;2;3;4;5;12;10;24;16;1
01058 Rendsburg-Eckernf.;01058151 Seefeld;2;;;;1;;;;;4;;;;2;
01058 Rendsburg-Eckernf.;01058152 Sehestedt;2;2;3;;8;2;6;3;1;2;4;2;;2;2
01058 Rendsburg-Eckernf.;01058153 Sören;;;;1;;2;;;1;;;;;1;
01058 Rendsburg-Eckernf.;01058154 Sophienhamm;1;;1;1;;;1;;;;;1;;;
01058 Rendsburg-Eckernf.;01058155 Stafstedt;1;1;2;;4;;3;2;;2;3;;2;2;1
01058 Rendsburg-Eckernf.;01058156 Steenfeld;4;1;1;1;;;;1;;2;;2;;1;2
01058 Rendsburg-Eckernf.;01058157 Strande;5;2;1;5;4;;;9;3;;6;;2;3;5
01058 Rendsburg-Eckernf.;01058158 Tackesdorf;;;;;;;;1;;;;;;;
01058 Rendsburg-Eckernf.;01058159 Tappendorf;;;;4;1;;1;1;1;2;;1;1;3;1
01058 Rendsburg-Eckernf.;01058160 Techelsdorf;;;;;1;;;;;;;;;;
01058 Rendsburg-Eckernf.;01058161 Thaden;;1;1;1;;;3;;1;;;1;;;1
01058 Rendsburg-Eckernf.;01058162 Thumby;;3;3;;;1;;2;;1;1;1;;3;1
01058 Rendsburg-Eckernf.;01058163 Timmaspe;2;3;;;7;1;;;2;10;4;3;3;4;2
01058 Rendsburg-Eckernf.;01058164 Todenbüttel;1;;;1;;4;;3;;3;1;7;1;2;
01058 Rendsburg-Eckernf.;01058165 Tüttendorf;1;2;5;16;24;10;3;4;1;3;;2;1;1;
01058 Rendsburg-Eckernf.;01058166 Waabs;5;4;22;2;27;5;8;3;7;14;4;6;3;3;3
01058 Rendsburg-Eckernf.;01058167 Wapelfeld;1;;;1;;1;;;;1;;1;;;1
01058 Rendsburg-Eckernf.;01058168 Warder;1;2;3;;6;3;2;3;3;1;1;3;;12;
01058 Rendsburg-Eckernf.;01058169 Wasbek;4;;1;;9;4;7;;;;9;14;4;1;3
01058 Rendsburg-Eckernf.;01058170 Wattenbek;5;12;6;;16;8;2;1;7;2;3;3;4;15;7
01058 Rendsburg-Eckernf.;01058171 Westensee;3;3;2;;9;4;5;7;4;3;5;1;2;2;1
01058 Rendsburg-Eckernf.;01058172 Westerrönfeld;1;4;22;1;31;4;5;4;11;6;7;6;10;3;20
01058 Rendsburg-Eckernf.;01058173 Windeby;1;3;6;3;2;3;1;2;1;;;;4;1;4
01058 Rendsburg-Eckernf.;01058174 Winnemark;;2;1;;7;1;1;2;1;4;1;2;2;1;2
01058 Rendsburg-Eckernf.;01058175 Ahlefeld-Bistensee;2;1;3;;4;;;1;;1;2;2;;;1
01058 Rendsburg-Eckernf.;Gesamtsumme;426;511;561;438;1.197;596;565;629;607;726;582;769;641;598;414
01059 Schleswig-Flensburg;01059001 Alt Bennebek;;6;1;;1;;1;2;;;;1;3;1;1
01059 Schleswig-Flensburg;01059002 Arnis, Stadt;;;;;;;;;1;;;;2;;
01059 Schleswig-Flensburg;01059005 Bergenhusen;1;2;1;1;;2;2;7;1;4;2;5;8;8;1
01059 Schleswig-Flensburg;01059006 Böel;;2;1;3;1;1;2;2;2;3;1;3;1;;1
01059 Schleswig-Flensburg;01059008 Böklund;3;7;3;4;7;10;2;7;;4;;3;1;2;1
01059 Schleswig-Flensburg;01059009 Börm;1;5;2;1;2;;5;8;2;3;5;1;6;2;
01059 Schleswig-Flensburg;01059010 Bollingstedt;3;10;6;4;1;2;1;5;2;7;8;10;6;3;5
01059 Schleswig-Flensburg;01059011 Boren;4;3;2;;;;;;;;;;;;
01059 Schleswig-Flensburg;01059012 Borgwedel;3;2;;3;3;1;;1;2;5;8;5;3;3;4
01059 Schleswig-Flensburg;01059014 Brebel;;;1;1;;3;1;2;;;;;;;
01059 Schleswig-Flensburg;01059016 Brodersby;4;2;3;5;2;2;;2;;;;;;;
01059 Schleswig-Flensburg;01059018 Busdorf;3;13;4;3;;4;6;9;8;2;3;4;3;2;2
01059 Schleswig-Flensburg;01059019 Dannewerk;2;6;4;3;9;6;10;1;2;1;15;5;2;2;3
01059 Schleswig-Flensburg;01059020 Dörpstedt;1;3;2;3;;1;;2;3;3;3;5;6;2;1
01059 Schleswig-Flensburg;01059021 Dollrottfeld;;1;;1;;;1;;;;;;;;
01059 Schleswig-Flensburg;01059022 Ekenis;3;;1;;;;;;;;;;;;
01059 Schleswig-Flensburg;01059023 Ellingstedt;6;3;3;2;;3;;1;4;2;3;1;4;1;1
01059 Schleswig-Flensburg;01059024 Erfde;8;8;8;8;6;9;35;8;6;8;13;21;36;24;6
01059 Schleswig-Flensburg;01059026 Fahrdorf;14;11;12;8;5;3;12;23;18;5;3;6;12;23;10
01059 Schleswig-Flensburg;01059032 Geltorf;;;2;;3;;2;1;;;;;3;1;1
01059 Schleswig-Flensburg;01059033 Goltoft;;1;;1;2;;;2;;;;;;;
01059 Schleswig-Flensburg;01059034 Grödersby;;1;;;3;;;3;;;2;3;1;1;
01059 Schleswig-Flensburg;01059035 Groß Rheide;4;2;2;;1;4;;2;1;2;10;9;3;1;4
01059 Schleswig-Flensburg;01059037 Havetoft;6;2;1;2;1;4;;1;;;;1;1;2;4
01059 Schleswig-Flensburg;01059038 Havetoftloit;1;;4;;;;;;;;;;;;
01059 Schleswig-Flensburg;01059039 Hollingstedt;2;1;2;1;2;1;1;1;1;7;4;16;8;4;1
01059 Schleswig-Flensburg;01059041 Hüsby;4;5;5;2;2;7;1;5;1;2;2;;18;4;
01059 Schleswig-Flensburg;01059042 Idstedt;5;2;2;3;6;5;4;2;3;3;;;1;;
01059 Schleswig-Flensburg;01059043 Jagel;1;1;1;3;2;3;;7;1;8;8;2;2;2;7
01059 Schleswig-Flensburg;01059044 Jübek;10;10;16;9;2;10;18;17;10;6;2;4;12;12;15
01059 Schleswig-Flensburg;01059045 Kappeln, Stadt;23;50;29;39;37;55;133;109;163;75;39;77;78;133;52
01059 Schleswig-Flensburg;01059047 Kiesby;;1;1;;;;;;;;;;;;
01059 Schleswig-Flensburg;01059049 Klappholz;3;4;;2;1;1;1;1;;1;;2;2;2;3
01059 Schleswig-Flensburg;01059050 Klein Bennebek;5;2;2;2;3;1;3;2;;1;3;;2;2;2
01059 Schleswig-Flensburg;01059051 Klein Rheide;1;3;;;3;;1;;;;1;1;4;2;
01059 Schleswig-Flensburg;01059053 Kropp;26;18;30;26;15;32;16;17;42;17;22;13;9;9;13
01059 Schleswig-Flensburg;01059055 Loit;;1;;;2;2;2;1;;1;;;;;
01059 Schleswig-Flensburg;01059056 Lottorf;1;1;;;3;;3;1;1;;;;;;
01059 Schleswig-Flensburg;01059057 Lürschau;4;5;5;7;7;4;;9;3;4;;;;5;1
01059 Schleswig-Flensburg;01059058 Meggerdorf;4;5;5;5;3;2;1;8;;2;5;2;6;2;
01059 Schleswig-Flensburg;01059060 Mohrkirch;2;1;2;;;4;;;3;1;6;1;7;2;2
01059 Schleswig-Flensburg;01059062 Neuberend;4;6;5;3;6;3;9;8;2;5;7;1;2;1;3
01059 Schleswig-Flensburg;01059063 Norderbrarup;;1;1;3;;1;1;2;1;4;4;6;1;;
01059 Schleswig-Flensburg;01059064 Norderstapel;;;1;2;;4;7;1;;;;;;;
01059 Schleswig-Flensburg;01059065 Nottfeld;;;;1;;;;1;;;;1;1;;
01059 Schleswig-Flensburg;01059067 Oersberg;2;2;3;1;;;;;;;;;2;;
01059 Schleswig-Flensburg;01059068 Rabenkirchen-Faulück;2;;;3;2;2;;;;2;2;1;3;1;2
01059 Schleswig-Flensburg;01059069 Rüde;;1;2;;;;;;;;;;;;
01059 Schleswig-Flensburg;01059070 Rügge;1;2;;;;;1;1;2;;;;;;
01059 Schleswig-Flensburg;01059071 Satrup;29;22;15;;;;;;;;;;;;
01059 Schleswig-Flensburg;01059072 Saustrup;1;2;;;;1;1;1;1;;1;;;1;
01059 Schleswig-Flensburg;01059073 Schaalby;6;1;5;12;1;2;3;2;4;1;4;5;2;1;
01059 Schleswig-Flensburg;01059074 Scheggerott;;2;3;;1;;1;1;;2;;;1;1;
01059 Schleswig-Flensburg;01059075 Schleswig, Stadt;24;45;70;84;87;70;87;82;39;52;57;21;42;41;37
01059 Schleswig-Flensburg;01059076 Schnarup-Thumby;2;3;1;3;1;;2;2;3;1;2;1;3;;
01059 Schleswig-Flensburg;01059077 Schuby;5;9;7;18;14;12;19;19;13;2;16;20;7;9;5
01059 Schleswig-Flensburg;01059078 Selk;;4;2;;1;5;2;4;4;3;1;3;2;1;
01059 Schleswig-Flensburg;01059079 Silberstedt;11;10;6;9;5;16;11;22;14;31;20;21;20;13;7
01059 Schleswig-Flensburg;01059080 Steinfeld;1;1;6;6;;2;5;1;2;3;;12;8;5;2
01059 Schleswig-Flensburg;01059081 Stolk;3;1;4;2;2;;3;2;8;5;4;4;6;13;
01059 Schleswig-Flensburg;01059082 Struxdorf;1;4;3;2;;;4;;;6;1;5;6;;1
01059 Schleswig-Flensburg;01059083 Süderbrarup;7;13;10;16;13;13;15;35;21;27;32;33;4;12;8
01059 Schleswig-Flensburg;01059084 Süderfahrenstedt;3;;;1;1;1;;1;;4;3;1;2;2;
01059 Schleswig-Flensburg;01059085 Süderstapel;2;2;4;2;1;1;3;5;;;;;;;
01059 Schleswig-Flensburg;01059086 Taarstedt;9;1;4;3;4;5;2;3;5;3;3;3;3;1;1
01059 Schleswig-Flensburg;01059087 Tetenhusen;4;3;3;2;1;5;4;1;2;4;2;8;5;11;2
01059 Schleswig-Flensburg;01059088 Tielen;2;2;1;1;3;1;1;1;1;;;2;;4;2
01059 Schleswig-Flensburg;01059090 Tolk;4;2;;;2;1;5;2;7;8;8;10;;1;7
01059 Schleswig-Flensburg;01059092 Treia;8;2;8;8;2;6;12;12;9;9;3;8;3;10;8
