"Statistikamt Nord; ";;;;;;;;;;;;;;;;13.03.26
"311-1; Kue.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
31121  Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;
31121SGJ55 Baufertigstellungen im Wohn- und Nichtwohnbau, Neubauten - SH (2010-2024);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Kreis;Gemeinde;Anzahl fertiggestellter Wohn- und Nichtwohngebäude im Neubau nach Jahren 2010-2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
01053 Hzgt. Lauenburg;01053050 Hamwarde;;1;10;;9;19;1;2;1;1;2;;6;2;1
01053 Hzgt. Lauenburg;01053051 Harmsdorf;3;1;;7;1;1;2;1;;;;2;;1;
01053 Hzgt. Lauenburg;01053052 Havekost;1;;;;;1;2;;;1;2;;1;;
01053 Hzgt. Lauenburg;01053053 Hohenhorn;4;3;1;;2;2;1;1;;1;3;;1;2;2
01053 Hzgt. Lauenburg;01053054 Hollenbek;;1;;2;;;4;1;;;4;4;;2;1
01053 Hzgt. Lauenburg;01053056 Hornbek;;;;;;1;4;1;;;2;;;;
01053 Hzgt. Lauenburg;01053057 Horst;;;;;1;;;1;;;3;;;;1
01053 Hzgt. Lauenburg;01053058 Juliusburg;;;;;;;;;;1;1;;4;;
01053 Hzgt. Lauenburg;01053059 Kankelau;2;;1;;;;1;;1;;1;;1;;
01053 Hzgt. Lauenburg;01053060 Kasseburg;4;5;6;1;3;1;;1;6;;5;3;;1;
01053 Hzgt. Lauenburg;01053061 Kastorf;;1;5;2;;5;;3;4;;7;23;15;5;13
01053 Hzgt. Lauenburg;01053062 Kittlitz;;;;3;1;;;;1;;3;2;;;
01053 Hzgt. Lauenburg;01053064 Klein Pampau;3;5;2;2;4;3;1;3;3;;4;3;2;1;
01053 Hzgt. Lauenburg;01053066 Klein Zecher;3;;;2;;;;;;;;;;;1
01053 Hzgt. Lauenburg;01053067 Klempau;;2;1;;3;;1;;;;1;5;1;;3
01053 Hzgt. Lauenburg;01053068 Klinkrade;;5;5;;;1;2;3;1;;;1;;7;2
01053 Hzgt. Lauenburg;01053069 Koberg;2;;;2;4;2;6;2;1;;2;4;1;1;
01053 Hzgt. Lauenburg;01053070 Köthel;;;;;2;2;;;;;4;;;3;
01053 Hzgt. Lauenburg;01053071 Kollow;;;2;;1;1;3;2;3;;;2;2;;
01053 Hzgt. Lauenburg;01053072 Kröppelshg.-Fahrend.;6;19;13;;11;6;1;;1;1;3;2;4;1;1
01053 Hzgt. Lauenburg;01053073 Krüzen;;2;5;1;;6;;1;;1;;;1;1;
01053 Hzgt. Lauenburg;01053074 Krukow;;;2;;;;;;;1;1;;;;
01053 Hzgt. Lauenburg;01053075 Krummesse;2;2;2;2;8;7;15;3;1;;5;1;;1;16
01053 Hzgt. Lauenburg;01053076 Kuddewörde;;3;2;3;1;1;4;1;3;;24;26;3;3;1
01053 Hzgt. Lauenburg;01053077 Kühsen;1;1;1;;1;2;1;2;1;;1;;;;
01053 Hzgt. Lauenburg;01053078 Kulpin;1;;;;;1;;1;;;;;;3;1
01053 Hzgt. Lauenburg;01053079 Labenz;2;1;2;1;2;2;7;1;4;;;16;;7;4
01053 Hzgt. Lauenburg;01053080 Langenlehsten;;;;1;;;;1;;;;1;;;
01053 Hzgt. Lauenburg;01053081 Lankau;2;;;1;1;1;1;1;;;1;;;3;
01053 Hzgt. Lauenburg;01053082 Lanze;;;1;;;;;;;;;;1;;2
01053 Hzgt. Lauenburg;01053083 Lauenburg/Elbe, Std.;2;7;8;4;;17;10;;;5;18;;98;53;12
01053 Hzgt. Lauenburg;01053084 Lehmrade;2;;;2;;2;;2;7;;;3;;;4
01053 Hzgt. Lauenburg;01053085 Linau;;4;2;1;;1;9;6;2;;2;4;3;;1
01053 Hzgt. Lauenburg;01053086 Lüchow;;4;;;1;1;;;;;2;;1;;
01053 Hzgt. Lauenburg;01053087 Lütau;;1;1;1;;6;1;1;;2;3;;1;1;
01053 Hzgt. Lauenburg;01053088 Mechow;;2;1;2;1;1;1;1;;;;2;;;
01053 Hzgt. Lauenburg;01053089 Möhnsen;;2;1;1;1;6;2;1;4;;;2;;;1
01053 Hzgt. Lauenburg;01053090 Mölln, Stadt;13;20;20;28;27;;19;45;6;18;8;71;35;3;16
01053 Hzgt. Lauenburg;01053091 Mühlenrade;;2;2;;;1;;;;;2;1;3;;
01053 Hzgt. Lauenburg;01053092 Müssen;4;8;;3;23;10;;3;15;;3;5;9;3;8
01053 Hzgt. Lauenburg;01053093 Mustin;2;2;;3;2;4;1;;;;1;1;;;4
01053 Hzgt. Lauenburg;01053094 Niendorf b. Berkent.;;;;;;;3;;;;;;;1;
01053 Hzgt. Lauenburg;01053095 Niendorf/Stecknitz;;1;4;;;3;1;;2;2;1;1;6;;
01053 Hzgt. Lauenburg;01053096 Nusse;5;2;1;2;3;5;2;2;15;;11;5;3;2;1
01053 Hzgt. Lauenburg;01053097 Panten;;;1;;;3;4;4;;;3;;1;;1
01053 Hzgt. Lauenburg;01053098 Pogeez;2;;;;5;7;5;14;6;;1;1;8;3;5
01053 Hzgt. Lauenburg;01053099 Poggensee;1;1;2;4;;1;2;4;2;;;;4;;
01053 Hzgt. Lauenburg;01053100 Ratzeburg, Stadt;19;27;32;48;58;6;91;60;17;9;23;24;14;5;9
01053 Hzgt. Lauenburg;01053101 Ritzerau;;3;2;;3;1;5;2;;;1;;1;;
01053 Hzgt. Lauenburg;01053103 Rondeshagen;1;3;1;6;;3;1;1;1;;;1;;;2
01053 Hzgt. Lauenburg;01053104 Roseburg;4;;1;;7;;;2;2;;2;2;2;1;
01053 Hzgt. Lauenburg;01053106 Sahms;;1;;;1;;;2;;;17;2;2;;2
01053 Hzgt. Lauenburg;01053107 Salem;;;1;2;3;3;1;1;4;;11;;;;3
01053 Hzgt. Lauenburg;01053108 Sandesneben;3;6;1;4;42;5;4;3;;;4;;4;1;1
01053 Hzgt. Lauenburg;01053109 Schiphorst;1;1;6;2;;5;14;2;5;;4;23;;9;1
01053 Hzgt. Lauenburg;01053110 Schmilau;;;1;;;;;2;2;;4;;1;2;1
01053 Hzgt. Lauenburg;01053111 Schnakenbek;;;3;5;;13;5;2;;4;5;;;2;
