"Statistikamt Nord; ";;;;;;;;;;;;;;;;13.03.26
"311-1; Kue.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
31121  Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;
31121HOJ75 Baufertigstellungen im Wohn- und Nichtwohnbau, Neubauten - HH (2010-2024);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Bezirk;Stadtteil;Anzahl fertiggestellter Wohn- und Nichtwohngebäude im Neubau nach Jahren 2010-2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
7 Harburg;705 Rönneburg;2;5;4;3;;2;1;4;6;2;3;17;7;4;2
7 Harburg;706 Langenbek;;;;10;;;;1;;;;;;;
7 Harburg;707 Sinstorf;;2;15;4;5;5;3;37;3;9;3;4;2;2;2
7 Harburg;708 Marmstorf;5;6;6;9;3;3;7;2;12;3;4;5;5;10;12
7 Harburg;709 Eißendorf;11;22;23;33;18;25;31;31;21;23;12;15;24;27;12
7 Harburg;710 Heimfeld;26;14;12;13;15;8;6;13;5;16;6;14;12;5;2
7 Harburg;711 Moorburg;2;5;;5;1;;1;2;1;1;;;;;
7 Harburg;712 Altenwerder;1;;;;;;;1;;1;2;;3;;
7 Harburg;713 Hausbruch;24;22;14;21;40;23;11;27;11;62;5;7;6;10;3
7 Harburg;714 Neugraben-Fischbek;32;63;43;79;40;69;96;172;212;201;191;245;74;78;34
7 Harburg;715 Francop;2;5;4;2;6;3;;8;1;;1;2;6;1;
7 Harburg;716 Neuenfelde;9;9;3;7;7;6;2;4;7;6;12;43;10;5;5
7 Harburg;717 Cranz;;;1;;;;;;;2;;;;;
7 Harburg;Gesamtsumme;123;157;133;215;149;221;179;331;297;353;252;364;158;151;90
Hamburg;Gesamtsumme;1.428;1.518;1.356;2.044;1.474;1.871;1.555;1.830;2.002;2.012;1.729;1.410;1.574;1.164;1.044
